street,city,size,price,first_seen,site,type,open
Ridderstraat,haarlem,25.0,875.00,2018-12-30 17:02:45.982325+00:00,huurwoningen,Appartement (Studio),False
Ridderstraat,haarlem,32.0,1025.00,2018-12-30 17:02:59.424143+00:00,huurwoningen,Appartement (Bovenwoning),False
Ridderstraat,haarlem,33.0,965.00,2018-12-30 17:03:13.767452+00:00,huurwoningen,Appartement (Studio),False
Ridderstraat,haarlem,33.0,1025.00,2018-12-30 17:03:27.154803+00:00,huurwoningen,Appartement (Studio),False
Nieuwe Groenmarkt,haarlem,45.0,1150.00,2018-12-30 17:03:38.668850+00:00,huurwoningen,Appartement (Portiekflat),False
Zijlweg,haarlem,110.0,1175.00,2018-12-30 17:03:49.124945+00:00,huurwoningen,Appartement (Portiekflat),False
Oudegracht,utrecht,44.0,1250.00,2019-01-24 09:04:47.574063+00:00,parius,Airconditioning,False
Hoogstraat,hilversum,80.0,1100.00,2019-02-11 16:11:43.473613+00:00,huurstunt,Huurwoning,False
A.L. Dyserinckstraat,haarlem,55.0,995.00,2018-12-30 17:04:27.753120+00:00,huurwoningen,Appartement (Portiekflat),False
Korte Poellaan,haarlem,55.0,1250.00,2018-12-30 17:04:37.177677+00:00,huurwoningen,Appartement (Galerijflat),False
Ripperdapark,haarlem,40.0,1195.00,2018-12-30 17:05:01.197115+00:00,huurwoningen,Appartement (Galerijflat),False
Surinameweg,haarlem,93.0,1130.00,2018-12-30 17:05:33.771043+00:00,huurwoningen,Appartement (Galerijflat),False
Amsterdamsestraatweg,utrecht,55.0,895.00,2018-12-30 17:06:01.761446+00:00,huurwoningen,Appartement (Galerijflat),False
Berckheydestraat,haarlem,60.0,1250.00,2018-12-30 17:04:14.315405+00:00,huurwoningen,Appartement (Portiekflat),False
Hoogstraat,hilversum,80.0,1100.00,2019-02-07 16:06:22.478534+00:00,huurwoningen,Huis (Eengezinswoning),False
Gedempte Voldersgracht,haarlem,40.0,975.00,2018-12-30 17:05:13.684290+00:00,huurwoningen,Appartement (Galerijflat),True
Burgwal,haarlem,45.0,925.00,2018-12-30 17:05:24.339364+00:00,huurwoningen,Appartement (Galerijflat),True
Willem Dreeslaan,utrecht,25.0,705.00,2018-12-30 17:05:49.230152+00:00,huurwoningen,Appartement (Studio),True
Rozenstraat,haarlem,37.0,1035.00,2018-12-30 17:03:54.909391+00:00,huurwoningen,Appartement (Studio),False
Ina Boudier-Bakkerlaan,utrecht,30.0,975.00,2018-12-30 17:07:16.773389+00:00,huurwoningen,Appartement (Portiekflat),False
Ina Boudier-Bakkerlaan,utrecht,30.0,850.00,2019-02-10 16:09:22.169938+00:00,huurstunt,Appartement,False
Julianaweg,utrecht,45.0,810.00,2018-12-30 17:06:23.691426+00:00,huurwoningen,Appartement (Portiekflat),False
Livingstonelaan,utrecht,79.0,1095.00,2018-12-30 17:06:34.545397+00:00,huurwoningen,Appartement (Galerijflat),False
Europaplein,utrecht,38.0,795.00,2018-12-30 17:06:48.399212+00:00,huurwoningen,Appartement (Portiekflat),False
Van Eysingalaan,utrecht,70.0,1150.00,2018-12-30 17:07:00.939839+00:00,huurwoningen,Appartement (Galerijflat),False
Vasco da Gamalaan,utrecht,65.0,1150.00,2018-12-30 17:07:09.361804+00:00,huurwoningen,Appartement (Galerijflat),False
Frederik Hendrikstraat,utrecht,52.0,1250.00,2018-12-30 17:07:30.227686+00:00,huurwoningen,Appartement (Benedenwoning),False
Hooft Graaflandstraat,utrecht,39.0,950.00,2018-12-30 17:07:49.468585+00:00,huurwoningen,Appartement (Portiekflat),False
1e Daalsedijk,utrecht,50.0,1100.00,2018-12-30 17:07:41.034644+00:00,huurwoningen,Appartement (Portiekflat),False
Muntstraat,utrecht,41.0,700.00,2019-02-17 16:10:18.752798+00:00,huurstunt,Appartement,False
Valetonlaan,utrecht,76.0,1095.00,2018-12-30 17:08:52.984959+00:00,huurwoningen,Appartement (Portiekflat),False
Merwedeplantsoen,utrecht,160.0,1000.00,2019-02-07 16:15:00.454021+00:00,huurstunt,Woonboot,True
Springweg,utrecht,50.0,950.00,2018-12-30 17:08:20.896072+00:00,huurwoningen,Appartement (Galerijflat),False
Amsterdamsestraatweg,utrecht,83.0,1150.00,2018-12-30 17:08:28.373185+00:00,huurwoningen,Appartement (Galerijflat),False
Adriaen van Ostadelaan,utrecht,45.0,900.00,2018-12-30 17:09:08.328921+00:00,huurwoningen,Appartement (Portiekflat),False
Herenstraat,utrecht,47.0,1250.00,2018-12-30 17:09:22.730256+00:00,huurwoningen,Appartement (Bovenwoning),False
Wapendragervlinder,utrecht,138.0,1180.00,2018-12-30 17:09:28.161139+00:00,huurwoningen,Huis (Eengezinswoning),False
Melissekade,utrecht,105.0,935.00,2018-12-30 17:09:39.671687+00:00,huurwoningen,Appartement (Portiekflat),False
Melissekade,utrecht,120.0,1020.00,2018-12-30 17:10:13.270450+00:00,huurwoningen,Appartement (Portiekflat),False
Houtrakgracht,utrecht,105.0,965.00,2018-12-30 17:09:48.958796+00:00,huurwoningen,Appartement (Portiekflat),False
Laan Van Nieuw-Guinea,utrecht,15.0,450.00,2019-02-10 16:09:29.313952+00:00,huurstunt,Kamer,False
Oudwijkerlaan,utrecht,37.0,1000.00,2018-12-30 17:08:44.569628+00:00,huurwoningen,Appartement (Galerijflat),False
Amsterdamsestraatweg,utrecht,30.0,825.00,2019-02-10 16:09:36.457431+00:00,huurstunt,Appartement,False
Javastraat,utrecht,50.0,1025.00,2018-12-30 17:11:34.478121+00:00,huurwoningen,Appartement (Portiekflat),False
J P Kloosstraat 94,amsterdam,86.0,1210.00,2019-01-10 19:06:54.505100+00:00,jaap,,False
Utrechtseweg,hilversum,65.0,1250.00,2019-02-22 16:09:33.065832+00:00,jaap,Bovenwoning,True
Einsteindreef,utrecht,70.0,1100.00,2019-02-04 16:21:31.904593+00:00,huurstunt,Appartement,False
Prinses Ireneplateau,utrecht,61.0,975.00,2018-12-30 17:10:43.233943+00:00,huurwoningen,Appartement,False
Seringstraat,utrecht,100.0,1150.00,2018-12-30 17:10:51.660964+00:00,huurwoningen,Appartement (Galerijflat),False
Willem van Noortstraat,utrecht,18.0,550.00,2018-12-30 17:11:05.160949+00:00,huurwoningen,Appartement (Studio),False
Weerdsingel W.Z.,utrecht,28.0,775.00,2018-12-30 17:11:27.071210+00:00,huurwoningen,Appartement (Galerijflat),False
Operettelaan,utrecht,120.0,1055.00,2018-12-30 17:12:22.525014+00:00,huurwoningen,Appartement (Portiekflat),False
Wibautstraat,utrecht,30.0,950.00,2018-12-30 17:11:48.986003+00:00,huurwoningen,Appartement (Galerijflat),False
Operettelaan,utrecht,103.0,1015.00,2018-12-30 17:12:16.027309+00:00,huurwoningen,Appartement (Portiekflat),False
Karel Doormanlaan,hilversum,78.0,1150.00,2019-02-22 16:09:23.115071+00:00,jaap,Appartement,True
Eemnesserweg,hilversum,50.0,845.00,2019-02-22 16:09:48.408919+00:00,jaap,Bovenwoning,True
Van Starkenborghhof,utrecht,100.0,875.00,2018-12-30 17:12:43.546832+00:00,huurwoningen,Appartement (Portiekflat),False
Biltstraat,utrecht,25.0,854.00,2018-12-30 17:12:51.915321+00:00,huurwoningen,Appartement (Galerijflat),False
Leidseweg,utrecht,30.0,795.00,2018-12-30 17:13:10.756596+00:00,huurwoningen,Appartement (Bovenwoning),False
Bosboomstraat,utrecht,62.0,1175.00,2018-12-30 17:13:35.628659+00:00,huurwoningen,Appartement (Galerijflat),False
Bosboomstraat,utrecht,42.0,925.00,2018-12-30 17:13:46.059379+00:00,huurwoningen,Appartement (Galerijflat),False
Biltstraat,utrecht,25.0,854.00,2018-12-30 17:13:53.545623+00:00,huurwoningen,Appartement (Galerijflat),False
Croeselaan,utrecht,65.0,1195.00,2018-12-30 17:14:00.974276+00:00,huurwoningen,Appartement (Portiekflat),False
Dahliastraat,utrecht,12.0,400.00,2018-12-30 17:14:22.872451+00:00,huurwoningen,Kamer (Kamer),False
Otterstraat,utrecht,18.0,485.00,2018-12-30 17:13:22.179078+00:00,huurwoningen,Kamer (Kamer),False
Oudegracht,utrecht,70.0,1250.00,2018-12-30 17:14:07.414326+00:00,huurwoningen,Appartement (Portiekflat),False
Kerkstraat,hilversum,70.0,975.00,2019-02-22 16:09:41.206016+00:00,jaap,Bovenwoning,True
Smaragdplein,utrecht,70.0,1195.00,2018-12-30 17:15:47.468708+00:00,huurwoningen,Appartement (Galerijflat),True
Parkzichtlaan,utrecht,107.0,1115.00,2018-12-30 17:15:15.146480+00:00,huurwoningen,Appartement (Portiekflat),False
Brigittenstraat,utrecht,27.0,875.00,2018-12-30 17:14:58.202820+00:00,huurwoningen,Appartement (Studio),False
Lange Jufferstraat,utrecht,20.0,550.00,2018-12-30 17:15:38.050716+00:00,huurwoningen,Kamer (Kamer),False
Jungfrau,utrecht,60.0,1200.00,2018-12-30 17:15:55.960012+00:00,huurwoningen,Appartement (Bovenwoning),False
St.-Ludgerusstraat,utrecht,30.0,998.00,2018-12-30 17:16:04.071417+00:00,huurwoningen,Appartement (Benedenwoning),False
Pieter Nieuwlandstraat,utrecht,58.0,1095.00,2018-12-30 17:16:10.593282+00:00,huurwoningen,Appartement (Galerijflat),False
Oudwijkerlaan,utrecht,40.0,1250.00,2018-12-30 17:16:23.090427+00:00,huurwoningen,Appartement (Studio),False
Melissekade,utrecht,110.0,965.00,2018-12-30 17:15:30.621712+00:00,huurwoningen,Appartement (Portiekflat),False
Albertus Perkstraat,hilversum,60.0,950.00,2019-02-05 23:39:50.552791+00:00,parius,Apart toilet,True
John Coltranestraat,utrecht,96.0,930.00,2018-12-30 17:12:03.601608+00:00,huurwoningen,Appartement (Portiekflat),False
Vosmaerstraat,utrecht,100.0,1250.00,2018-12-30 17:17:43.840684+00:00,huurwoningen,Appartement (Portiekflat),False
Hogeweide,utrecht,130.0,1030.00,2018-12-30 17:15:06.679837+00:00,huurwoningen,Appartement (Portiekflat),False
Amsterdamsestraatweg,utrecht,21.0,695.00,2018-12-30 17:16:50.207903+00:00,huurwoningen,Appartement (Studio),False
Moezeldreef,utrecht,13.0,435.00,2018-12-30 17:16:55.646640+00:00,huurwoningen,Kamer (Kamer),False
Abel Tasmanstraat,utrecht,18.0,550.00,2018-12-30 17:17:11.548315+00:00,huurwoningen,Kamer (Kamer),False
Theemsdreef,utrecht,100.0,1195.00,2018-12-30 17:17:28.414272+00:00,huurwoningen,Appartement (Portiekflat),False
Tafelbergdreef,utrecht,85.0,950.00,2018-12-30 17:18:13.044074+00:00,huurwoningen,Appartement (Portiekflat),False
Amaliastraat,utrecht,40.0,1250.00,2018-12-30 17:18:24.522728+00:00,huurwoningen,Appartement (Galerijflat),False
Soerabayastraat,utrecht,36.0,875.00,2018-12-30 17:18:33.054626+00:00,huurwoningen,Appartement (Galerijflat),False
Van Diemenstraat,utrecht,55.0,1200.00,2018-12-30 17:18:53.918412+00:00,huurwoningen,Appartement (Galerijflat),False
Havenstraat,hilversum,64.0,1025.00,2019-02-22 16:10:00.984813+00:00,jaap,Bovenwoning,True
Julianaweg,utrecht,118.0,600.00,2018-12-30 17:18:41.493839+00:00,huurwoningen,Kamer (Kamer),False
Dadelstraat,utrecht,35.0,800.00,2018-12-30 17:20:13.725497+00:00,huurwoningen,Appartement (Bovenwoning),False
Jutfaseweg,utrecht,17.0,565.00,2019-02-17 16:10:48.243028+00:00,huurstunt,Appartement,False
Koningsweg,utrecht,65.0,964.00,2018-12-30 17:19:08.813971+00:00,huurwoningen,Appartement (Galerijflat),False
Koningsweg,utrecht,65.0,964.00,2018-12-30 17:19:21.674220+00:00,huurwoningen,Appartement (Galerijflat),False
Minahassastraat,utrecht,80.0,1200.00,2018-12-30 17:19:30.127470+00:00,huurwoningen,Appartement (Galerijflat),False
Von Kleistlaan,utrecht,65.0,1250.00,2018-12-30 17:19:44.321752+00:00,huurwoningen,Appartement (Galerijflat),False
Biltstraat,utrecht,24.0,875.00,2018-12-30 17:19:54.778561+00:00,huurwoningen,Appartement (Studio),False
Europaplein,utrecht,50.0,1077.00,2018-12-30 17:21:05.168460+00:00,huurwoningen,Appartement (Portiekflat),False
Europaplein,utrecht,50.0,1077.00,2018-12-30 17:21:16.581249+00:00,huurwoningen,Appartement (Portiekflat),False
Kolhornseweg,hilversum,70.0,1000.00,2019-02-07 16:06:28.958202+00:00,huurwoningen,Appartement (Galerijflat),False
Van Riebeeckstraat,utrecht,35.0,1000.00,2018-12-30 17:20:34.867679+00:00,huurwoningen,Appartement (Galerijflat),False
Nachtegaalstraat,utrecht,25.0,675.00,2018-12-30 17:20:57.640198+00:00,huurwoningen,Appartement (Studio),False
Koppestokstraat,utrecht,60.0,1000.00,2018-12-30 17:20:42.209266+00:00,huurwoningen,Appartement (Galerijflat),True
Troubadourhof,utrecht,120.0,980.00,2018-12-30 17:22:06.258345+00:00,huurwoningen,Appartement (Benedenwoning),True
Surinameweg,haarlem,,905.00,2019-01-28 19:01:57.596387+00:00,huurwoningen,Huis (Eengezinswoning),False
Van Egmondkade,utrecht,50.0,1250.00,2018-12-30 17:21:51.349682+00:00,huurwoningen,Appartement (Bovenwoning),True
Lombokstraat,utrecht,42.0,850.00,2018-12-30 17:21:25.015815+00:00,huurwoningen,Appartement (Benedenwoning),True
Ijburglaan 572,amsterdam,105.0,1155.00,2018-12-30 21:28:50.268120+00:00,jaap,,False
Euterpedreef,utrecht,40.0,825.00,2018-12-30 17:22:16.703285+00:00,huurwoningen,Appartement (Galerijflat),False
Vooruitgangstraat,haarlem,50.0,1175.00,2019-02-12 23:05:29.799729+00:00,parius,Apart toilet,True
Voor Clarenburg,utrecht,50.0,1000.00,2018-12-30 17:22:25.146031+00:00,huurwoningen,Appartement (Bovenwoning),True
't Zand,utrecht,13.0,425.00,2018-12-30 17:21:39.884984+00:00,huurwoningen,Kamer,True
Ijburglaan 584,amsterdam,105.0,1155.00,2018-12-30 21:29:09.627223+00:00,jaap,,False
Zeilstraat 50 4 Hoog,amsterdam,60.0,1050.00,2018-12-30 21:29:22.785797+00:00,jaap,Bovenwoning,False
Laddersteeg,utrecht,55.0,1195.00,2018-12-30 17:21:59.828998+00:00,huurwoningen,Appartement (Bovenwoning),True
Kerkstraat,hilversum,45.0,875.00,2019-02-22 16:10:10.123495+00:00,jaap,Bovenwoning,True
Hagedoornweg,amsterdam,40.0,1200.00,2018-12-30 21:30:19.758484+00:00,jaap,Appartement,False
Lindengracht,amsterdam,34.0,1250.00,2019-01-11 08:42:17.193508+00:00,parius,Exclusief,False
Karspeldreef 1207,amsterdam,72.0,1200.00,2018-12-30 21:30:14.573011+00:00,jaap,Appartement,False
Oostzanerdijk 143 K,amsterdam,75.0,1150.00,2018-12-30 21:29:42.097160+00:00,jaap,Bedrijfsruimte,True
Kruitberghof 38,amsterdam,75.0,1200.00,2018-12-30 21:30:50.342200+00:00,jaap,Appartement,False
Amerbos 194,amsterdam,40.0,950.00,2018-12-30 17:23:28.641739+00:00,jaap,Studio,False
Welnastraat,amsterdam,28.0,1100.00,2018-12-30 21:30:00.411144+00:00,jaap,Studio,False
Osdorper Ban 863,amsterdam,88.0,1015.00,2018-12-30 21:31:02.605116+00:00,jaap,Appartement,False
"Calandlaan, Pieter 1339",amsterdam,97.0,1061.00,2018-12-30 21:31:08.009571+00:00,jaap,,False
Heverleestraat 4,amsterdam,70.0,870.00,2019-01-14 19:13:06.862498+00:00,jaap,Eengezinswoning,False
Kerkstraat,hilversum,70.0,975.00,2019-02-07 16:06:34.398585+00:00,huurwoningen,Appartement (Galerijflat),False
Monnetlaan,utrecht,40.0,895.00,2019-02-17 16:10:57.423781+00:00,huurstunt,Appartement,False
Eemnesserweg,hilversum,50.0,845.00,2019-02-07 16:06:44.874922+00:00,huurwoningen,Appartement (Galerijflat),False
Formosastraat 0 Ong,amsterdam,58.0,975.00,2018-12-30 17:26:42.535236+00:00,jaap,Bovenwoning,False
Adriaan Dorsmanstraat 61,amsterdam,130.0,1192.00,2018-12-30 21:31:24.593690+00:00,jaap,,False
Doggerstraat 38,amsterdam,101.0,1239.00,2018-12-30 21:31:39.741858+00:00,jaap,,False
J P Kloosstraat 91,amsterdam,86.0,1210.00,2018-12-30 21:31:52.909262+00:00,jaap,,False
Bos en Lommerweg,amsterdam,30.0,975.00,2018-12-30 17:25:52.726221+00:00,jaap,Studio,False
Vogelenzangstraat 0 Ong,amsterdam,54.0,1080.00,2018-12-30 21:33:16.296739+00:00,jaap,Bovenwoning,False
Grootzeilhof 0 Ong,amsterdam,75.0,980.00,2018-12-30 17:26:22.818625+00:00,jaap,Bovenwoning,False
Sarphatistraat,amsterdam,58.0,1150.00,2018-12-30 21:32:00.052170+00:00,jaap,Appartement,False
Ijburglaan,amsterdam,32.0,850.00,2019-01-18 19:07:25.250212+00:00,jaap,Bovenwoning,False
"Goudestein, Goudesteinlaan 68",utrecht,72.0,1115.00,2018-12-30 21:58:30.408203+00:00,jaap,Appartement,False
Nicolaas Ruychaverstraat 194,amsterdam,94.0,1100.00,2018-12-30 21:29:55.260857+00:00,jaap,Woon-/winkelpand,False
B Merkelbachsingel 619,amsterdam,88.0,1141.00,2018-12-30 21:34:35.602772+00:00,jaap,,False
Pieter Calandlaan,amsterdam,108.0,1107.00,2018-12-30 21:34:49.758180+00:00,jaap,,False
Haparandaweg,amsterdam,48.0,1250.00,2018-12-30 21:35:03.946782+00:00,jaap,Appartement,False
Spanderswoudstraat 0 Ong,amsterdam,89.0,1250.00,2018-12-30 21:33:30.478253+00:00,jaap,Bovenwoning,False
Hoge Larenseweg,hilversum,65.0,975.00,2019-02-22 16:10:24.538458+00:00,jaap,Benedenwoning,True
Hudsonstraat 0 Ong,amsterdam,48.0,1100.00,2018-12-30 21:33:42.657300+00:00,jaap,Bovenwoning,False
Ruimzicht 0 Ong,amsterdam,90.0,1145.00,2018-12-30 21:33:53.182637+00:00,jaap,Bovenwoning,False
Sarphatistraat,amsterdam,58.0,1150.00,2018-12-30 21:34:04.351212+00:00,jaap,Appartement,False
Bos en Lommerweg,amsterdam,30.0,975.00,2018-12-30 17:27:52.189874+00:00,jaap,Studio,False
Akerwateringstraat,amsterdam,10.0,650.00,2018-12-30 17:28:03.347018+00:00,jaap,Appartement,False
Slotermeerlaan 0 Ong,amsterdam,59.0,1075.00,2018-12-30 21:35:14.884714+00:00,jaap,Bovenwoning,False
Kruitberghof 93,amsterdam,89.0,1250.00,2018-12-30 21:35:22.064900+00:00,jaap,Appartement,False
Johan Huizingalaan,amsterdam,89.0,1051.00,2018-12-30 21:35:44.481848+00:00,jaap,,False
Schinkelkade 67 C- 6,amsterdam,70.0,1234.00,2018-12-30 21:35:51.683973+00:00,jaap,,False
Daguerrestraat 131,amsterdam,108.0,1210.00,2019-01-18 19:03:23.790923+00:00,jaap,,False
Julianaplein 29 -g,amsterdam,52.0,1250.00,2018-12-30 21:36:43.673741+00:00,jaap,,False
Oeverpad 281,amsterdam,78.0,1100.00,2018-12-30 21:36:50.849212+00:00,jaap,Appartement,False
Johan van der Keukenstraat 83 -g,amsterdam,47.0,1250.00,2018-12-30 21:36:23.179910+00:00,jaap,Bovenwoning,True
Markengouw 231,amsterdam,55.0,534.00,2018-12-30 17:30:22.389656+00:00,jaap,Woning,False
Hoge Naarderweg,hilversum,22.0,795.00,2019-02-22 16:10:37.735143+00:00,jaap,Bovenwoning,True
Langswater 0 Ong,amsterdam,70.0,980.00,2018-12-30 17:29:57.070455+00:00,jaap,Bovenwoning,False
Haarlemmerdijk 76 A,amsterdam,38.0,1050.00,2018-12-30 21:38:27.927615+00:00,jaap,Studio,False
Johan Huizingalaan 493,amsterdam,89.0,1051.00,2019-01-10 19:06:46.895973+00:00,jaap,,False
Molenwerf 8e 1,amsterdam,112.0,1185.00,2018-12-30 21:37:13.229741+00:00,jaap,Woning,False
Barteljorisstraat,haarlem,52.0,1250.00,2019-01-24 08:43:39.959889+00:00,parius,Vloerbedekking: Hout,False
Van Nijenrodeweg,amsterdam,40.0,1050.00,2019-02-04 16:00:29.583672+00:00,huurwoningen,Appartement (Studio),False
Hannie Termeulenpad 5,amsterdam,50.0,1200.00,2018-12-30 21:37:55.201651+00:00,jaap,Woon-/winkelpand,False
Karspeldreef 1289,amsterdam,101.0,1195.00,2019-02-07 16:07:55.156537+00:00,jaap,Appartement,True
Groest,hilversum,80.0,1245.00,2019-02-22 16:10:47.907802+00:00,jaap,Bovenwoning,True
Ruychaverstraat,haarlem,50.0,1085.00,2018-12-30 21:38:34.409945+00:00,jaap,Benedenwoning,False
Gasthuislaan,haarlem,45.0,1225.00,2018-12-30 21:38:41.574791+00:00,jaap,Appartement,False
Kruitberghof 29,amsterdam,72.0,1150.00,2018-12-30 21:37:20.379601+00:00,jaap,Appartement,True
Johan De Meesterstraat,utrecht,60.0,1135.00,2019-02-17 16:11:14.368691+00:00,huurstunt,Appartement,True
Theemsweg 48,amsterdam,0.0,1250.00,2018-12-30 21:38:22.782234+00:00,jaap,Kantoorruimte,True
Biltstraat,utrecht,39.0,1153.00,2019-02-12 16:10:56.936100+00:00,huurstunt,Appartement,True
Vooruitgangstraat 137,haarlem,40.0,1175.00,2019-01-29 17:13:36.157005+00:00,jaap,Penthouse,False
Olmenstraat,haarlem,50.0,1250.00,2018-12-30 21:40:05.902324+00:00,jaap,Bovenwoning,False
Wagenweg,haarlem,85.0,1000.00,2018-12-30 21:40:21.065998+00:00,jaap,Appartement,False
Vrijheidsweg 141,haarlem,111.0,1011.00,2018-12-30 21:40:36.228387+00:00,jaap,Eengezinswoning,False
Spijkerboorweg 102,haarlem,95.0,1037.00,2018-12-30 21:40:44.491332+00:00,jaap,,False
Jan Evertsenstraat 144,amsterdam,15.0,510.00,2018-12-30 17:22:49.131175+00:00,jaap,Kamer,False
Meester Lottelaan,haarlem,50.0,1150.00,2018-12-30 21:39:54.752798+00:00,jaap,Benedenwoning,False
Van Nijenrodeweg 749,amsterdam,35.0,1100.00,2018-12-30 21:37:40.009229+00:00,jaap,Bovenwoning,True
Staalstraat 23 I,haarlem,97.0,425.00,2018-12-30 17:33:32.717965+00:00,jaap,Appartement,False
A L Dyserinckstraat,haarlem,55.0,995.00,2018-12-30 17:33:48.395796+00:00,jaap,Bovenwoning,False
Schoterweg,haarlem,50.0,1100.00,2018-12-30 21:41:25.396777+00:00,jaap,Appartement,False
Kleine Houtstraat,haarlem,45.0,895.00,2018-12-30 17:36:43.708449+00:00,jaap,Appartement,True
Jan Tademaweg 6 F,haarlem,0.0,1250.00,2018-12-30 21:41:48.071396+00:00,jaap,Benedenwoning,True
Transvaalstraat 14 C,haarlem,54.0,1150.00,2018-12-30 21:41:19.197962+00:00,jaap,Benedenwoning,False
Vooruitgangstraat,haarlem,40.0,1175.00,2019-01-30 17:02:46.920997+00:00,huurwoningen,Appartement (Penthouse),False
